MARCA_VEHICULO;MODELO_VEHICULO;TIPO_VEHICULO;EDAD_VEHICULO;FECHA_ACCIDENTE;GRAVEDAD_ACCIDENTE
BAJAJ;2016;MOTOCICLETA;10;10/2024;CON HERIDOS
BAJAJ;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
BAJAJ;2019;MOTOCICLETA;8;10/2024;CON HERIDOS
AKT;2019;MOTOCICLETA;8;10/2024;CON HERIDOS
BAJAJ;2011;MOTOCICLETA;15;10/2024;CON HERIDOS
BAJAJ;2020;MOTOCICLETA;7;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
SKODA;1997;AUTOMOVIL;28;10/2024;CON HERIDOS
AKT;2020;MOTOCICLETA;5;10/2024;CON HERIDOS
AKT;2015;MOTOCICLETA;11;10/2024;CON HERIDOS
YAMAHA;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
BAJAJ;2012;MOTOCICLETA;14;10/2024;CON HERIDOS
YAMAHA;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
YAMAHA;2015;MOTOCICLETA;11;10/2024;CON HERIDOS
DAEWOO;1998;AUTOMOVIL;28;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;2016;AUTOMOVIL;10;10/2024;CON HERIDOS
BAJAJ;2020;MOTOCICLETA;7;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
TOYOTA;2021;CAMPERO;4;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
YAMAHA;2016;MOTOCICLETA;11;10/2024;CON HERIDOS
BAJAJ;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
YAMAHA;2018;MOTOCICLETA;9;10/2024;CON HERIDOS
AKT;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
YAMAHA;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
YAMAHA;2016;MOTOCICLETA;10;10/2024;CON HERIDOS
BAJAJ;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
AKT;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
YAMAHA;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
YAMAHA;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
KTM;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
YAMAHA;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
AKT;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
BAJAJ;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
RENAULT;2018;AUTOMOVIL;8;10/2024;CON HERIDOS
AKT;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
BAJAJ;2019;MOTOCICLETA;8;10/2024;CON HERIDOS
RENAULT;2018;AUTOMOVIL;9;10/2024;CON HERIDOS
KTM;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
YAMAHA;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2016;MOTOCICLETA;10;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
RENAULT;2003;AUTOMOVIL;23;10/2024;CON HERIDOS
YAMAHA;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
YAMAHA;2021;MOTOCICLETA;6;10/2024;CON HERIDOS
AKT;2015;MOTOCICLETA;12;10/2024;CON HERIDOS
BAJAJ;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
YAMAHA;2009;MOTOCICLETA;17;10/2024;CON HERIDOS
AKT;2008;MOTOCICLETA;18;10/2024;CON HERIDOS
BLUE BIRD;2014;BUS;12;10/2024;CON HERIDOS
RENAULT;2013;CAMIONETA;13;10/2024;CON HERIDOS
BAJAJ;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
RENAULT;2023;CAMIONETA;4;10/2024;CON HERIDOS
YAMAHA;2016;MOTOCICLETA;11;10/2024;CON HERIDOS
YAMAHA;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
BAJAJ;2013;MOTOCICLETA;13;10/2024;CON HERIDOS
RENAULT;2010;AUTOMOVIL;16;10/2024;CON HERIDOS
RENAULT;2022;AUTOMOVIL;4;10/2024;CON HERIDOS
BAJAJ;2019;MOTOCICLETA;8;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2012;MOTOCICLETA;15;10/2024;CON HERIDOS
RENAULT;2013;AUTOMOVIL;13;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
YAMAHA;2012;MOTOCICLETA;13;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
YAMAHA;2011;MOTOCICLETA;15;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;2010;AUTOMOVIL;16;10/2024;CON HERIDOS
AKT;2024;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
AKT;2024;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
AKT;2020;MOTOCICLETA;7;10/2024;CON HERIDOS
RENAULT;2020;AUTOMOVIL;7;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
RENAULT;2021;AUTOMOVIL;5;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
YAMAHA;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;2017;AUTOMOVIL;9;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
TOYOTA;2010;CAMIONETA;10;10/2024;CON HERIDOS
YAMAHA;2011;MOTOCICLETA;15;10/2024;CON HERIDOS
TOYOTA;2019;CAMPERO;8;10/2024;CON HERIDOS
RENAULT;1989;AUTOMOVIL;37;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
YAMAHA;2012;MOTOCICLETA;14;10/2024;CON HERIDOS
BAJAJ;2010;MOTOCICLETA;16;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
KTM;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
RENAULT;2024;AUTOMOVIL;2;10/2024;CON HERIDOS
RENAULT;2011;AUTOMOVIL;15;10/2024;CON HERIDOS
RENAULT;2010;AUTOMOVIL;17;10/2024;CON HERIDOS
AKT;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
AKT;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
BENELLI;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
RENAULT;1998;AUTOMOVIL;28;10/2024;CON HERIDOS
BENELLI;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
YAMAHA;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
YAMAHA;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;2015;AUTOMOVIL;11;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
YAMAHA;2012;MOTOCICLETA;14;10/2024;CON HERIDOS
YAMAHA;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
RENAULT;1998;AUTOMOVIL;28;10/2024;CON HERIDOS
AKT;2024;MOTOCICLETA;3;10/2024;CON HERIDOS
YAMAHA;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
RENAULT;2025;AUTOMOVIL;2;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
AKT;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
CHANGAN;2024;CAMIONETA;2;10/2024;CON HERIDOS
AKT;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
RENAULT;1977;AUTOMOVIL;47;10/2024;CON HERIDOS
BAJAJ;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
TOYOTA;2020;CAMIONETA;5;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;2002;AUTOMOVIL;24;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
YAMAHA;2018;MOTOCICLETA;9;10/2024;CON HERIDOS
RENAULT;2011;AUTOMOVIL;15;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
KTM;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
AKT;2024;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2019;MOTOCICLETA;8;10/2024;CON HERIDOS
RENAULT;2000;AUTOMOVIL;26;10/2024;CON HERIDOS
BLUE BIRD;2012;BUS;14;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
BAJAJ;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
AKT;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
KTM;2017;MOTOCICLETA;8;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
YAMAHA;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
TOYOTA;2022;CAMPERO;3;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
AKT;2021;MOTOCICLETA;6;10/2024;CON HERIDOS
TOYOTA;2021;CAMPERO;4;10/2024;CON HERIDOS
YAMAHA;2013;MOTOCICLETA;13;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
BAJAJ;2017;MOTOCICLETA;9;10/2024;CON HERIDOS
AKT;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2016;MOTOCICLETA;10;10/2024;CON HERIDOS
AKT;2012;MOTOCICLETA;14;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
RENAULT;2009;AUTOMOVIL;17;10/2024;CON HERIDOS
RENAULT;2015;AUTOMOVIL;11;10/2024;CON HERIDOS
INTERNATIONAL;2012;VOLQUETA;15;10/2024;CON HERIDOS
RENAULT;2025;AUTOMOVIL;2;10/2024;CON HERIDOS
RENAULT;2011;AUTOMOVIL;15;10/2024;CON HERIDOS
AKT;2012;MOTOCICLETA;14;10/2024;CON HERIDOS
BAJAJ;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;2022;AUTOMOVIL;4;10/2024;CON HERIDOS
FARGO;1951;CAMIONETA;74;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
AKT;2012;MOTOCICLETA;14;10/2024;CON HERIDOS
AKT;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
BAJAJ;2019;MOTOCICLETA;6;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;13;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
BENELLI;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
AKT;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
BAJAJ;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
YAMAHA;2018;MOTOCICLETA;9;10/2024;CON HERIDOS
AUTECO;2008;MOTOCICLETA;18;10/2024;CON HERIDOS
KTM;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;3;10/2024;CON HERIDOS
ROYAL ENFIELD;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2021;MOTOCICLETA;6;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
YAMAHA;2016;MOTOCICLETA;11;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;2022;AUTOMOVIL;4;10/2024;CON HERIDOS
RENAULT;2017;AUTOMOVIL;9;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;2008;AUTOMOVIL;19;10/2024;CON HERIDOS
RENAULT;2019;AUTOMOVIL;7;10/2024;CON HERIDOS
AKT;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
YAMAHA;2009;MOTOCICLETA;22;10/2024;CON HERIDOS
YAMAHA;2012;MOTOCICLETA;15;10/2024;CON HERIDOS
BAJAJ;2017;MOTOCICLETA;9;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
BLUE BIRD;2014;BUS;12;10/2024;CON HERIDOS
BAJAJ;2011;MOTOCICLETA;15;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;13;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
RENAULT;2016;CAMIONETA;10;10/2024;CON HERIDOS
BENELLI;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
RENAULT;2018;CAMIONETA;8;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
RENAULT;2022;AUTOMOVIL;4;10/2024;CON HERIDOS
RENAULT;2010;AUTOMOVIL;16;10/2024;CON HERIDOS
AKT;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
TOYOTA;2005;CAMPERO;21;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;13;10/2024;CON HERIDOS
RENAULT;2015;AUTOMOVIL;11;10/2024;CON HERIDOS
YAMAHA;2013;MOTOCICLETA;13;10/2024;CON HERIDOS
RENAULT;2020;AUTOMOVIL;6;10/2024;CON HERIDOS
AKT;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
FREIGHTLINER;2020;TRACTOCAMION;6;10/2024;CON HERIDOS
TOYOTA;2024;CAMPERO;1;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
RENAULT;2013;CAMIONETA;13;10/2024;CON HERIDOS
BAJAJ;2015;MOTOCICLETA;12;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
YAMAHA;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
BENELLI;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
BAJAJ;2017;MOTOCICLETA;8;10/2024;CON HERIDOS
YAMAHA;2017;MOTOCICLETA;9;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
YAMAHA;2016;MOTOCICLETA;8;10/2024;CON HERIDOS
AKT;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
BAJAJ;2016;MOTOCICLETA;11;10/2024;CON HERIDOS
RENAULT;2021;CAMIONETA;5;10/2024;CON HERIDOS
AUDI;2009;AUTOMOVIL;17;10/2024;CON HERIDOS
YAMAHA;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2021;MOTOCICLETA;6;10/2024;CON HERIDOS
TOYOTA;2024;CAMIONETA;2;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
AKT;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
YAMAHA;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;2020;AUTOMOVIL;6;10/2024;CON HERIDOS
RENAULT;2019;CUADRICICLO;7;10/2024;CON HERIDOS
YAMAHA;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
RENAULT;2010;AUTOMOVIL;16;10/2024;CON HERIDOS
KTM;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
YAMAHA;2024;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
YAMAHA;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2011;MOTOCICLETA;14;10/2024;CON HERIDOS
YAMAHA;2010;MOTOCICLETA;16;10/2024;CON HERIDOS
BAJAJ;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
YAMAHA;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
INTERNATIONAL;2022;CAMION;5;10/2024;CON HERIDOS
YAMAHA;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
SKODA;2018;CAMIONETA;7;10/2024;CON HERIDOS
KTM;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
YAMAHA;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
KTM;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
AKT;2011;MOTOCICLETA;15;10/2024;CON HERIDOS
RENAULT;2002;AUTOMOVIL;24;10/2024;CON HERIDOS
YAMAHA;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
YAMAHA;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
BAJAJ;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
YAMAHA;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2016;MOTOCICLETA;10;10/2024;CON HERIDOS
RENAULT;2012;AUTOMOVIL;15;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
YAMAHA;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
AKT;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AUTECO;2006;MOTOCICLETA;20;10/2024;CON HERIDOS
YAMAHA;2014;MOTOCICLETA;13;10/2024;CON HERIDOS
BAJAJ;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
YAMAHA;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
YAMAHA;2016;MOTOCICLETA;10;10/2024;CON HERIDOS
AKT;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
RENAULT;2013;AUTOMOVIL;13;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
INTERNATIONAL;2012;CAMION;15;10/2024;CON HERIDOS
BAJAJ;2016;MOTOCICLETA;11;10/2024;CON HERIDOS
AKT;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BAJAJ;2015;MOTOCICLETA;12;10/2024;CON HERIDOS
YAMAHA;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
RENAULT;2009;AUTOMOVIL;17;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
YAMAHA;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
BAJAJ;2016;MOTOCICLETA;11;10/2024;CON HERIDOS
KTM;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
BENELLI;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
TOYOTA;2023;CAMIONETA;3;10/2024;CON HERIDOS
AKT;2015;MOTOCICLETA;11;10/2024;CON HERIDOS
YAMAHA;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
BAJAJ;2016;MOTOCICLETA;11;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;13;10/2024;CON HERIDOS
TOYOTA;2022;CAMIONETA;4;10/2024;CON HERIDOS
AKT;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
YAMAHA;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
RENAULT;2014;CAMPERO;12;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;2023;CAMIONETA;3;10/2024;CON HERIDOS
AKT;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
AKT;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
BAJAJ;2009;MOTOCICLETA;17;10/2024;CON HERIDOS
BAJAJ;2018;MOTOCICLETA;9;10/2024;CON HERIDOS
BAJAJ;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
KTM;2016;MOTOCICLETA;10;10/2024;CON HERIDOS
AKT;2018;MOTOCICLETA;9;10/2024;CON HERIDOS
ROYAL ENFIELD;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
RENAULT;2022;AUTOMOVIL;4;10/2024;CON HERIDOS
BAJAJ;2017;MOTOCICLETA;10;10/2024;CON HERIDOS
BAJAJ;2014;MOTOCICLETA;12;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
BENELLI;2023;MOTOCICLETA;4;10/2024;CON HERIDOS
RENAULT;2008;AUTOMOVIL;18;10/2024;CON HERIDOS
RENAULT;2013;AUTOMOVIL;13;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
AUDI;2024;CAMIONETA;2;10/2024;CON HERIDOS
FREIGHTLINER;2013;TRACTOCAMION;11;10/2024;CON HERIDOS
YAMAHA;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
TOYOTA;2023;CAMIONETA;4;10/2024;CON HERIDOS
RENAULT;2016;AUTOMOVIL;10;10/2024;CON HERIDOS
TOYOTA;2014;CAMPERO;12;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
RENAULT;2014;CAMIONETA;12;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;2;10/2024;CON HERIDOS
KTM;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
RENAULT;1979;AUTOMOVIL;47;10/2024;CON HERIDOS
AKT;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
AKT;2019;MOTOCICLETA;7;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;4;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
RENAULT;2023;AUTOMOVIL;2;10/2024;CON HERIDOS
AKT;2015;MOTOCICLETA;12;10/2024;CON HERIDOS
TOYOTA;2023;CAMIONETA;3;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
BAJAJ;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
RENAULT;2020;AUTOMOVIL;7;10/2024;CON HERIDOS
YAMAHA;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
YAMAHA;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
RENAULT;2011;CAMIONETA;15;10/2024;CON HERIDOS
AKT;2012;MOTOCICLETA;14;10/2024;CON HERIDOS
AKT;2015;MOTOCICLETA;11;10/2024;CON HERIDOS
AKT;2025;MOTOCICLETA;1;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
BAJAJ;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
AKT;2012;MOTOCICLETA;14;10/2024;CON HERIDOS
RENAULT;2025;CAMIONETA;1;10/2024;CON HERIDOS
SSANGYONG;2022;CAMIONETA;4;10/2024;CON HERIDOS
RENAULT;2024;AUTOMOVIL;2;10/2024;CON HERIDOS
AKT;2024;MOTOCICLETA;2;10/2024;CON HERIDOS
YAMAHA;2018;MOTOCICLETA;8;10/2024;CON HERIDOS
RENAULT;2020;AUTOMOVIL;6;10/2024;CON HERIDOS
AKT;2023;MOTOCICLETA;3;10/2024;CON HERIDOS
BAJAJ;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
AKT;2024;MOTOCICLETA;3;10/2024;CON HERIDOS
YAMAHA;2021;MOTOCICLETA;5;10/2024;CON HERIDOS
AKT;2022;MOTOCICLETA;5;10/2024;CON HERIDOS
KTM;2020;MOTOCICLETA;6;10/2024;CON HERIDOS
DODGE;2010;CAMIONETA;16;10/2024;CON MUERTOS
VOLKSWAGEN;2021;CAMIONETA;5;10/2024;CON MUERTOS
SUZUKI;2015;MOTOCICLETA;10;10/2024;CON MUERTOS
SUZUKI;2017;MOTOCICLETA;10;10/2024;CON MUERTOS
SUZUKI;2025;MOTOCICLETA;2;10/2024;CON MUERTOS
